,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.1103,0.2508
Total Unusual Items,0.0,
Total Unusual Items Excluding Goodwill,0.0,
Net Income From Continuing Operation Net Minority Interest,622656600000.0,495446900000.0
Reconciled Depreciation,52348300000.0,23489700000.0
Net Interest Income,1248003400000.0,913988500000.0
Interest Expense,1533922800000.0,775538200000.0
Interest Income,2781926200000.0,1689526700000.0
Normalized Income,622656600000.0,495446900000.0
Net Income From Continuing And Discontinued Operation,622656600000.0,495446900000.0
Diluted Average Shares,2369150809.0,1862391109.0
Basic Average Shares,2359765352.0,1855206854.0
Diluted EPS,264.93,266.04
Basic EPS,265.98,267.06
Diluted NI Availto Com Stockholders,622656600000.0,495446900000.0
Net Income Common Stockholders,622656600000.0,495446900000.0
Net Income,622656600000.0,495446900000.0
Minority Interests,-4975300000.0,-817500000.0
Net Income Including Noncontrolling Interests,627631900000.0,496264400000.0
Net Income Extraordinary,0.0,
Net Income Continuous Operations,627631900000.0,496264400000.0
Tax Provision,77827100000.0,166117400000.0
Pretax Income,705459000000.0,662381800000.0
Special Income Charges,0.0,
Gain On Sale Of Security,19456100000.0,14574900000.0
Depreciation Amortization Depletion Income Statement,52348300000.0,23489700000.0
Depreciation And Amortization In Income Statement,52348300000.0,23489700000.0
Amortization,21201000000.0,0.0
Amortization Of Intangibles Income Statement,21201000000.0,0.0
Depreciation Income Statement,31147300000.0,23489700000.0
Selling General And Administration,951762600000.0,400219800000.0
General And Administrative Expense,951762600000.0,400219800000.0
Other Gand A,281020800000.0,200493000000.0
Insurance And Claims,381965800000.0,0.0
Salaries And Wages,288776000000.0,199726800000.0
Total Revenue,1986934300000.0,1205375000000.0
Operating Revenue,1986934300000.0,1205375000000.0
Occupancy And Equipment,65131500000.0,45069900000.0
Other Non Interest Expense,79169800000.0,
