,2024-03-31,2023-03-31
Ordinary Shares Number,6324997701.0,6324997701.0
Share Issued,6324997701.0,6324997701.0
Net Debt,,
Total Debt,,
Tangible Book Value,827357500000.0,462174700000.0
Invested Capital,827468700000.0,462328700000.0
Net Tangible Assets,827357500000.0,462174700000.0
Common Stock Equity,827468700000.0,462328700000.0
Total Capitalization,827468700000.0,462328700000.0
Total Equity Gross Minority Interest,828996000000.0,463499700000.0
Minority Interest,1527300000.0,1171000000.0
Stockholders Equity,827468700000.0,462328700000.0
Retained Earnings,757018300000.0,392175300000.0
Additional Paid In Capital,21000000.0,21000000.0
Capital Stock,63250000000.0,63250000000.0
Common Stock,63250000000.0,63250000000.0
Total Liabilities Net Minority Interest,52331475200000.0,45321413900000.0
Non Current Accrued Expenses,52342600000.0,50402700000.0
Long Term Debt And Capital Lease Obligation,,
Long Term Debt,,
Long Term Provisions,149461400000.0,149462200000.0
Payables,30115200000.0,29822800000.0
Other Payable,145700000.0,133600000.0
Dividends Payable,4600000.0,1600000.0
Total Tax Payable,18523900000.0,20260100000.0
Accounts Payable,11441000000.0,9427500000.0
Total Assets,53160471200000.0,45784913600000.0
Financial Assets,-600000.0,0.0
Investments And Advances,49408522900000.0,42166823800000.0
Investmentin Financial Assets,48558002700000.0,41574088100000.0
Available For Sale Securities,4367451700000.0,4274422400000.0
Long Term Equity Investment,415766600000.0,383469900000.0
Investmentsin Subsidiariesat Cost,415766600000.0,383469900000.0
Investment Properties,169950200000.0,169680000000.0
Goodwill And Other Intangible Assets,111200000.0,154000000.0
Other Intangible Assets,111200000.0,154000000.0
Goodwill,0.0,0.0
Net PPE,40636500000.0,38213300000.0
Accumulated Depreciation,-44164600000.0,-41430400000.0
Gross PPE,84801100000.0,79643700000.0
Construction In Progress,4025200000.0,3314600000.0
Other Properties,36256500000.0,34331600000.0
Machinery Furniture Equipment,6444200000.0,6064600000.0
Buildings And Improvements,36639800000.0,34214000000.0
Land And Improvements,1435400000.0,1718900000.0
Prepaid Assets,201798000000.0,237123800000.0
Inventory,575500000.0,634000000.0
Other Receivables,994088700000.0,913414700000.0
Accounts Receivable,150611600000.0,152746900000.0
Cash Cash Equivalents And Short Term Investments,796406700000.0,518289100000.0
Other Short Term Investments,434753600000.0,209265800000.0
Cash And Cash Equivalents,361653100000.0,309023300000.0
