Unnamed: 0,2024-03-31
Free Cash Flow,253538800000.0
Repayment Of Debt,0.0
Capital Expenditure,-7677700000.0
End Cash Position,420138300000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,455881400000.0
Effect Of Exchange Rate Changes,1312600000.0
Changes In Cash,-37055700000.0
Financing Cash Flow,-44272000000.0
Net Other Financing Charges,
Interest Paid Cff,-44272000000.0
Net Issuance Payments Of Debt,0.0
Net Long Term Debt Issuance,0.0
Long Term Debt Payments,0.0
Investing Cash Flow,-254000200000.0
Net Other Investing Changes,2931735200000.0
Net Investment Purchase And Sale,-3141330200000.0
Sale Of Investment,2619038700000.0
Purchase Of Investment,-5760368900000.0
Net Investment Properties Purchase And Sale,
Sale Of Investment Properties,
Purchase Of Investment Properties,
Net PPE Purchase And Sale,-7127200000.0
Sale Of PPE,550500000.0
Purchase Of PPE,-7677700000.0
Cash Flowsfromusedin Operating Activities Direct,261216500000.0
Classesof Cash Payments,-4634824400000.0
Other Cash Paymentsfrom Operating Activities,-413078000000.0
Classesof Cash Receiptsfrom Operating Activities,4896040900000.0
Other Cash Receiptsfrom Operating Activities,71162700000.0
